time,Max_Power
20200101:0011,60000
20200101:0111,60000
20200101:0211,60000
20200101:0311,60000
20200101:0411,60000
20200101:0511,60000
20200101:0611,60000
20200101:0711,60000
20200101:0811,60000
20200101:0911,60000
20200101:1011,60000
20200101:1111,60000
20200101:1211,60000
20200101:1311,60000
20200101:1411,60000
20200101:1511,60000
20200101:1611,60000
20200101:1711,60000
20200101:1811,60000
20200101:1911,60000
20200101:2011,60000
20200101:2111,60000
20200101:2211,60000
20200101:2311,60000
20200102:0011,60000
20200102:0111,60000
20200102:0211,60000
20200102:0311,60000
20200102:0411,60000
20200102:0511,60000
20200102:0611,60000
20200102:0711,60000
20200102:0811,60000
20200102:0911,60000
20200102:1011,60000
20200102:1111,60000
20200102:1211,60000
20200102:1311,60000
20200102:1411,60000
20200102:1511,60000
20200102:1611,60000
20200102:1711,60000
20200102:1811,60000
20200102:1911,60000
20200102:2011,60000
20200102:2111,60000
20200102:2211,60000
20200102:2311,60000
20200103:0011,60000
20200103:0111,60000
20200103:0211,60000
20200103:0311,60000
20200103:0411,60000
20200103:0511,60000
20200103:0611,60000
20200103:0711,60000
20200103:0811,60000
20200103:0911,60000
20200103:1011,60000
20200103:1111,60000
20200103:1211,60000
20200103:1311,60000
20200103:1411,60000
20200103:1511,60000
20200103:1611,60000
20200103:1711,60000
20200103:1811,60000
20200103:1911,60000
20200103:2011,60000
20200103:2111,60000
20200103:2211,60000
20200103:2311,60000
20200104:0011,60000
20200104:0111,60000
20200104:0211,60000
20200104:0311,60000
20200104:0411,60000
20200104:0511,60000
20200104:0611,60000
20200104:0711,60000
20200104:0811,60000
20200104:0911,60000
20200104:1011,60000
20200104:1111,60000
20200104:1211,60000
20200104:1311,60000
20200104:1411,60000
20200104:1511,60000
20200104:1611,60000
20200104:1711,60000
20200104:1811,60000
20200104:1911,60000
20200104:2011,60000
20200104:2111,60000
20200104:2211,60000
20200104:2311,60000
20200105:0011,60000
20200105:0111,60000
20200105:0211,60000
20200105:0311,60000
20200105:0411,60000
20200105:0511,60000
20200105:0611,60000
20200105:0711,60000
20200105:0811,60000
20200105:0911,60000
20200105:1011,60000
20200105:1111,60000
20200105:1211,60000
20200105:1311,60000
20200105:1411,60000
20200105:1511,60000
20200105:1611,60000
20200105:1711,60000
20200105:1811,60000
20200105:1911,60000
20200105:2011,60000
20200105:2111,60000
20200105:2211,60000
20200105:2311,60000
20200106:0011,60000
20200106:0111,60000
20200106:0211,60000
20200106:0311,60000
20200106:0411,60000
20200106:0511,60000
20200106:0611,60000
20200106:0711,60000
20200106:0811,60000
20200106:0911,60000
20200106:1011,60000
20200106:1111,60000
20200106:1211,60000
20200106:1311,60000
20200106:1411,60000
20200106:1511,60000
20200106:1611,60000
20200106:1711,60000
20200106:1811,60000
20200106:1911,60000
20200106:2011,60000
20200106:2111,60000
20200106:2211,60000
20200106:2311,60000
20200107:0011,60000
20200107:0111,60000
20200107:0211,60000
20200107:0311,60000
20200107:0411,60000
20200107:0511,60000
20200107:0611,60000
20200107:0711,60000
20200107:0811,60000
20200107:0911,60000
20200107:1011,60000
20200107:1111,60000
20200107:1211,60000
20200107:1311,60000
20200107:1411,60000
20200107:1511,60000
20200107:1611,60000
20200107:1711,60000
20200107:1811,60000
20200107:1911,60000
20200107:2011,60000
20200107:2111,60000
20200107:2211,60000
20200107:2311,60000
20200108:0011,60000
20200108:0111,60000
20200108:0211,60000
20200108:0311,60000
20200108:0411,60000
20200108:0511,60000
20200108:0611,60000
20200108:0711,60000
20200108:0811,60000
20200108:0911,60000
20200108:1011,60000
20200108:1111,60000
20200108:1211,60000
20200108:1311,60000
20200108:1411,60000
20200108:1511,60000
20200108:1611,60000
20200108:1711,60000
20200108:1811,60000
20200108:1911,60000
20200108:2011,60000
20200108:2111,60000
20200108:2211,60000
20200108:2311,60000
20200109:0011,60000
20200109:0111,60000
20200109:0211,60000
20200109:0311,60000
20200109:0411,60000
20200109:0511,60000
20200109:0611,60000
20200109:0711,60000
20200109:0811,60000
20200109:0911,60000
20200109:1011,60000
20200109:1111,60000
20200109:1211,60000
20200109:1311,60000
20200109:1411,60000
20200109:1511,60000
20200109:1611,60000
20200109:1711,60000
20200109:1811,60000
20200109:1911,60000
20200109:2011,60000
20200109:2111,60000
20200109:2211,60000
20200109:2311,60000
20200110:0011,60000
20200110:0111,60000
20200110:0211,60000
20200110:0311,60000
20200110:0411,60000
20200110:0511,60000
20200110:0611,60000
20200110:0711,60000
20200110:0811,60000
20200110:0911,60000
20200110:1011,60000
20200110:1111,60000
20200110:1211,60000
20200110:1311,60000
20200110:1411,60000
20200110:1511,60000
20200110:1611,60000
20200110:1711,60000
20200110:1811,60000
20200110:1911,60000
20200110:2011,60000
20200110:2111,60000
20200110:2211,60000
20200110:2311,60000
20200111:0011,60000
20200111:0111,60000
20200111:0211,60000
20200111:0311,60000
20200111:0411,60000
20200111:0511,60000
20200111:0611,60000
20200111:0711,60000
20200111:0811,60000
20200111:0911,60000
20200111:1011,60000
20200111:1111,60000
20200111:1211,60000
20200111:1311,60000
20200111:1411,60000
20200111:1511,60000
20200111:1611,60000
20200111:1711,60000
20200111:1811,60000
20200111:1911,60000
20200111:2011,60000
20200111:2111,60000
20200111:2211,60000
20200111:2311,60000
20200112:0011,60000
20200112:0111,60000
20200112:0211,60000
20200112:0311,60000
20200112:0411,60000
20200112:0511,60000
20200112:0611,60000
20200112:0711,60000
20200112:0811,60000
20200112:0911,60000
20200112:1011,60000
20200112:1111,60000
20200112:1211,60000
20200112:1311,60000
20200112:1411,60000
20200112:1511,60000
20200112:1611,60000
20200112:1711,60000
20200112:1811,60000
20200112:1911,60000
20200112:2011,60000
20200112:2111,60000
20200112:2211,60000
20200112:2311,60000
20200113:0011,60000
20200113:0111,60000
20200113:0211,60000
20200113:0311,60000
20200113:0411,60000
20200113:0511,60000
20200113:0611,60000
20200113:0711,60000
20200113:0811,60000
20200113:0911,60000
20200113:1011,60000
20200113:1111,60000
20200113:1211,60000
20200113:1311,60000
20200113:1411,60000
20200113:1511,60000
20200113:1611,60000
20200113:1711,60000
20200113:1811,60000
20200113:1911,60000
20200113:2011,60000
20200113:2111,60000
20200113:2211,60000
20200113:2311,60000
20200114:0011,60000
20200114:0111,60000
20200114:0211,60000
20200114:0311,60000
20200114:0411,60000
20200114:0511,60000
20200114:0611,60000
20200114:0711,60000
20200114:0811,60000
20200114:0911,60000
20200114:1011,60000
20200114:1111,60000
20200114:1211,60000
20200114:1311,60000
20200114:1411,60000
20200114:1511,60000
