time,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0,0,1.08,3.24,0
20200101:0111,0,0,1.53,3.45,0
20200101:0211,0,0,2.26,3.72,0
20200101:0311,0,0,2.73,3.93,0
20200101:0411,0,0,2.95,4.07,0
20200101:0511,0,0,3.28,4.21,0
20200101:0611,0,0,3.49,4.28,0
20200101:0711,0,0,3.71,4.48,0
20200101:0811,0,0,3.8,4.34,0
20200101:0911,0,0,3.94,4.41,0
20200101:1011,7.18,7.01,4.51,4.41,0
20200101:1111,82.14,10.07,5.19,4.55,0
20200101:1211,443.05,11.17,5.79,4,0
20200101:1311,137.03,10.21,5.89,4.9,0
20200101:1411,194.18,7.28,5.89,4.62,0
20200101:1511,118.11,2.61,5.63,4.83,0
20200101:1611,0,0,5.34,5.24,0
20200101:1711,0,0,5.25,5.52,0
20200101:1811,0,0,5.12,5.59,0
20200101:1911,0,0,4.87,5.66,0
20200101:2011,0,0,4.8,5.93,0
20200101:2111,0,0,4.86,6.28,0
20200101:2211,0,0,5.03,6.69,0
20200101:2311,0,0,5.21,7.17,0
20200102:0011,0,0,5.37,7.59,0
20200102:0111,0,0,5.46,7.93,0
20200102:0211,0,0,5.65,8.14,0
20200102:0311,0,0,5.96,8.55,0
20200102:0411,0,0,6.21,8.83,0
20200102:0511,0,0,6.36,8.83,0
20200102:0611,0,0,6.44,8.97,0
20200102:0711,0,0,6.66,8.97,0
20200102:0811,0,0,6.83,9.24,0
20200102:0911,0,0,6.97,9.38,0
20200102:1011,14.96,7.06,7.34,9.52,0
20200102:1111,20.95,10.14,7.7,9.59,0
20200102:1211,30.52,11.25,7.94,9.45,0
20200102:1311,20.35,10.31,8,9.17,0
20200102:1411,16.76,7.39,8.1,8.76,0
20200102:1511,150.11,2.73,8.11,8.76,0
20200102:1611,0,0,8.08,8.34,0
20200102:1711,0,0,8.42,8.14,0
20200102:1811,0,0,8.82,8.21,0
20200102:1911,0,0,8.82,8.41,0
20200102:2011,0,0,9.19,8.76,0
20200102:2111,0,0,9.48,8.62,0
20200102:2211,0,0,9.51,8.21,0
20200102:2311,0,0,9.38,7.31,0
20200103:0011,0,0,8.84,6.34,0
20200103:0111,0,0,6.72,6.34,0
20200103:0211,0,0,5.25,5.52,0
20200103:0311,0,0,4.07,5.03,0
20200103:0411,0,0,3.26,4.83,0
20200103:0511,0,0,2.88,4.69,0
20200103:0611,0,0,2.62,4.62,0
20200103:0711,0,0,3.02,4.97,0
20200103:0811,0,0,3.22,5.03,0
20200103:0911,1.37,2.31,3.63,5.24,0
20200103:1011,352.24,7.12,3.91,5.59,0
20200103:1111,649.43,10.21,4.17,6,0
20200103:1211,645.78,11.34,4.59,6.48,0
20200103:1311,579.75,10.42,4.82,6.62,0
20200103:1411,275.64,7.51,4.82,6.34,0
20200103:1511,258.21,2.85,4.6,6.14,0
20200103:1611,0,0,4.41,6.07,0
20200103:1711,0,0,4.24,6,0
20200103:1811,0,0,4.21,6,0
20200103:1911,0,0,4.42,6.21,0
20200103:2011,0,0,4.43,6.21,0
20200103:2111,0,0,4.59,6.48,0
20200103:2211,0,0,5.17,6.76,0
20200103:2311,0,0,5.51,6.97,0
20200104:0011,0,0,5.37,6.9,0
20200104:0111,0,0,5.4,6.9,0
20200104:0211,0,0,5.69,7.03,0
20200104:0311,0,0,5.82,7.1,0
20200104:0411,0,0,6.16,7.38,0
